,movie,years,mpaa_ratings,fan_stars,genres,creators,imdb_reference
220,Faiâ emuburemu: Fuuka setsugetsu,2019 Video Game,T,8.9,"['Adventure', 'Drama', 'Fantasy']","['Toshiyuki Kusakihara', 'Genki Yokota', 'Takashi Sano', 'Yûsuke Kobayashi', 'Shizuka Itô', 'Ai Kakuma', 'Kaito Ishikawa']",tt7896952
221,Bessie,2015 TV Movie,TV-MA,6.7,"['Biography', 'Drama', 'Music']","['Bessie Smith', 'Dee Rees', 'Queen Latifah', 'Kamryn Johnson', 'Rikki McKinney', 'Alan T. Coleman']",tt3704352
222,Viola di mare,2009,Not Rated,6.7,"['Drama', 'History', 'Romance']","['Donatella Maiorca', 'Valeria Solarino', 'Isabella Ragonese', 'Ennio Fantastichini', 'Giselda Volodi']",tt1467306
223,Another Gay Sequel: Gays Gone Wild!,2008,Unrated,4.0,"['Comedy', 'Romance']","['Todd Stephens', 'Jonah Blechman', 'Jake Mosser', 'Aaron Michael Davies', 'Jimmy Clabots']",tt1051981
224,Circus of Books,2019,Not Rated,7.1,"['Documentary', 'Biography', 'History']","['Larry Flynt', 'Rachel Mason', 'Karen Mason', 'Barry Mason', 'Micah Mason', 'Rachel Mason']",tt8727582
225,Paranoid: Everything Wipe from the Beginning,2021,-,-,"['Crime', 'Drama', 'Horror']","['Dogus Arslan', 'Ilkin Abaslioglu', 'Guldeniz Acikel', 'Dogus Arslan', 'Mesut Aslan']",tt1402490
226,Eiga: minna! Esupâ da yo!,2015,-,5.3,"['Comedy', 'Drama', 'Mystery']","['Sion Sono', 'Mika Akizuki', 'Tokio Emoto', 'Motoki Fukami', 'Mizuki Hoshina']",tt4473370
227,Buddies,1985,Not Rated,7.5,"['Drama', 'History', 'Romance']","['Arthur J. Bressan Jr.', 'Geoff Edholm', 'David Schachter', 'Billy Lux', 'David Rose']",tt0088864
228,The Surrogate,V 2020,-,6.0,['Drama'],"['Jeremy Hersh', 'Jasmine Batchelor', 'Chris Perfetti', 'Sullivan Jones', 'Brooke Bloom']",tt1023932
229,Wish You,2021,Not Rated,6.5,"['Drama', 'Music', 'Romance']","['Do Joon Sung', 'Sang Lee', 'Kang Ye Na', 'Subin Park', 'Baek Seo-Bin']",tt1386614
230,8,2012 TV Movie,-,7.1,"['Drama', 'History']","['Rob Reiner', 'Kevin Bacon', 'Dustin Lance Black', 'David Boies', 'Matt Bomer']",tt2290075
231,Twelve Forever,2019,TV-Y7,6.7,"['Animation', 'Action', 'Adventure']","['Kelsy Abbott', 'Jaylen Barron', 'Antony Del Rio', 'Spencer Rothbell']",tt8009622
232,Girl/Girl Scene,2010,TV-MA,5.4,"['Comedy', 'Drama', 'Romance']","['Tucky Williams', 'Roni Jonah', 'Katie Stewart', 'Cyndy Allen']",tt2385242
233,Butterfly,2018,-,6.4,['Drama'],"['Emmett J Scanlan', 'Callum Booth-Ford', 'Anna Friel', 'Lorraine Burroughs']",tt7703440
234,Kissing Game,2020,TV-MA,6.5,"['Drama', 'Mystery', 'Thriller']","['Caio Horowicz', 'Iza Moreira', 'Michel Joelsas', 'Denise Fraga']",tt1113196
235,Shared Rooms,2016,Unrated,5.6,"['Comedy', 'Drama', 'Romance']","['Rob Williams', 'Daniel Lipshutz', 'Alex Neil Miller', 'Enzo Nova', 'Christopher Patrino']",tt5106400
236,Adam,2019,-,3.7,['Comedy'],"['Rhys Ernst', 'Nicholas Alexander', 'Bobbi Salvör Menuez', 'Margaret Qualley', 'Leo Sheng']",tt6316466
237,Before the Fall,2016,Unrated,6.1,"['Comedy', 'Drama', 'Romance']","['Byrum Geisler', 'Ethan Sharrett', 'Chase Conner', 'Brandi Price', 'Jason Mac']",tt4126434
238,Ellie & Abbie (& Ellie's Dead Aunt),2020,TV-14,5.9,['Comedy'],"['Monica Zanetti', 'Sophie Hawkshaw', 'Zoe Terakes', 'Marta Dusseldorp', 'Rachel House']",tt1035386
239,Variações: Guardian Angel,2019,-,7.2,"['Biography', 'Drama', 'Music']","['João Maia', 'Sérgio Praia', 'Filipe Duarte', 'Victoria Guerra', 'Augusto Madeira']",tt2155399
240,Zero for Conduct,1933,Not Rated,7.3,"['Short', 'Comedy', 'Drama']","['Jean Vigo', 'Jean Dasté', 'Robert le Flon', 'Louis Lefebvre', 'Du Verron']",tt0024803
241,Happy Sugar Life,2018,-,6.5,"['Animation', 'Crime', 'Drama']",['-'],tt8696458
242,Moonlit Winter,2019,-,7.0,"['Drama', 'Romance']","['Dae Hyung Lim', 'Kim Hee-ae', 'Yûko Nakamura', 'So-hye Kim', 'Yoo-Bin Sung']",tt1131197
243,Saturday Church,2017,Not Rated,6.3,"['Drama', 'Fantasy', 'Music']","['Damon Cardasis', 'Indya Moore', 'Mj Rodriguez', 'Regina Taylor', 'Margot Bingham']",tt5654600
244,Holy Hell,2016,Not Rated,7.1,"['Documentary', 'Drama']","['Will Allen', 'Will Allen', 'Dimitrius Pulido', 'Phillipe Coquet', 'David Christopher']",tt5278464
245,The Male Gaze: Nocturnal Instincts,2021,-,6.4,['Drama'],"['Dean Anderson', 'Roberto F. Canuto', 'Nicolas Graux', 'Gabriel Omri Loukas', 'Gustav Olsson', 'Xiaoxi Xu', 'Tijmen Govaerts', 'Gabriel Omri Loukas', 'Vincent Xi Chen', 'Piotr Biedron']",tt1428579
246,The Dutch Boys,2021,-,-,['Drama'],"['Marco van Bergen', 'Viktor van der Valk', 'Marc Wagenaar', 'Jordi Wijnalda', 'Gijs Blom', 'Bas Keizer', 'Matthijs van de Sande Bakhuyzen', 'Tom van Kessel']",tt1463153
247,Min pappa Marianne,2020,-,7.0,"['Comedy', 'Drama']","['Mårten Klingberg', 'Hedda Stiernstedt', 'Rolf Lassgård', 'Lena Endre', 'Klas Wiljergård']",tt9894440
248,A New York Christmas Wedding,2020,TV-MA,5.5,"['Drama', 'Romance']","['Otoja Abit', 'Chris Noth', 'Nia Fairweather', 'Chris Trousdale', 'Otoja Abit']",tt1076819
249,Bruna Surfistinha,2011,TV-MA,6.1,"['Biography', 'Drama']","['Marcus Baldini', 'Deborah Secco', 'Cássio Gabus Mendes', 'Drica Moraes', 'Fabiula Nascimento']",tt1587828
250,Star Slammer,1986,R,3.5,"['Action', 'Comedy', 'Sci-Fi']","['Fred Olen Ray', 'Sandy Brooke', 'Suzy Stokey', 'Ross Hagen', 'Marya Gant']",tt0087945
251,Kiss & Tell,1997,R,4.8,"['Comedy', 'Drama']","['Jordan Alan', 'Richmond Arquette', 'Lewis Arquette', 'Peter Greene', 'Jill Hennessy']",tt0123983
252,Dolfin Megumi,2018,Not Rated,6.5,"['Short', 'Drama']","['Ori Aharon', 'Chen Hefetz', 'Omri Laron']",tt8723752
